SignalID,Timestamp,EventCode,EventParam
63082004,2023-03-13 22:32:54.0000000,10,2
63082004,2023-03-13 22:32:54.0000000,10,6
63082004,2023-03-13 22:32:56.0000000,1,4
63082004,2023-03-13 22:32:56.0000000,1,8
63082004,2023-03-13 22:33:06.0000000,8,4
63082004,2023-03-13 22:33:06.0000000,8,8
63082004,2023-03-13 22:33:09.0000000,10,4
63082004,2023-03-13 22:33:09.0000000,10,8
63082004,2023-03-13 22:33:10.0000000,1,2
63082004,2023-03-13 22:33:10.0000000,1,6
63082004,2023-03-13 22:33:35.0000000,8,2
63082004,2023-03-13 22:33:35.0000000,8,6
63082004,2023-03-13 22:33:40.0000000,10,2
63082004,2023-03-13 22:33:40.0000000,10,6
63082004,2023-03-13 22:33:42.0000000,1,4
63082004,2023-03-13 22:33:42.0000000,1,8
63082004,2023-03-13 22:33:52.0000000,8,4
63082004,2023-03-13 22:33:52.0000000,8,8
63082004,2023-03-13 22:33:55.0000000,10,4
63082004,2023-03-13 22:33:55.0000000,10,8
63082004,2023-03-13 22:33:56.0000000,1,2
63082004,2023-03-13 22:33:56.0000000,1,6
63082004,2023-03-13 22:34:21.0000000,8,2
63082004,2023-03-13 22:34:21.0000000,8,6
63082004,2023-03-13 22:34:26.0000000,10,2
63082004,2023-03-13 22:34:26.0000000,10,6
63082004,2023-03-13 22:34:28.0000000,1,4
63082004,2023-03-13 22:34:28.0000000,1,7
63082004,2023-03-13 22:34:38.0000000,8,4
63082004,2023-03-13 22:34:38.0000000,8,7
63082004,2023-03-13 22:34:41.0000000,10,4
63082004,2023-03-13 22:34:41.0000000,10,7
63082004,2023-03-13 22:34:42.0000000,1,2
63082004,2023-03-13 22:34:42.0000000,1,5
63082004,2023-03-13 22:34:52.0000000,8,5
63082004,2023-03-13 22:34:55.0000000,10,5
63082004,2023-03-13 22:34:56.0000000,1,6
63082004,2023-03-13 22:36:23.0000000,8,2
63082004,2023-03-13 22:36:23.0000000,8,6
63082004,2023-03-13 22:36:28.0000000,10,2
63082004,2023-03-13 22:36:28.0000000,10,6
63082004,2023-03-13 22:36:30.0000000,1,3
63082004,2023-03-13 22:36:30.0000000,1,8
63082004,2023-03-13 22:36:41.0000000,8,3
63082004,2023-03-13 22:36:41.0000000,8,8
63082004,2023-03-13 22:36:45.0000000,10,3
63082004,2023-03-13 22:36:45.0000000,10,8
63082004,2023-03-13 22:36:46.0000000,1,2
63082004,2023-03-13 22:36:46.0000000,1,6
63082004,2023-03-13 22:37:30.0000000,8,2
63082004,2023-03-13 22:37:30.0000000,8,6
63082004,2023-03-13 22:37:34.0000000,10,2
